index,slack_pt,strength_x2_capture_pt,strength_x4_capture_pt,num_launch_pt,setup_pt,strength_x16_capture_pt,strength_x0_launch_pt,strength_x16_launch_pt,strength_x4_data_pt,strength_x32_data_pt,strength_x0_common_pt,slack_launch_pt,strength_x0_capture_pt,strength_x1_launch_pt,strength_x1_data_pt,strength_x2_common_pt,strength_x8_common_pt,num_capture_pt,slack_capture_pt,strength_x32_capture_pt,strength_x2_launch_pt,strength_x8_data_pt,strength_x16_data_pt,strength_x4_common_pt,strength_x32_common_pt,num_data_pt,slack_data_pt,strength_x8_capture_pt,strength_x8_launch_pt,strength_x32_launch_pt,strength_x0_data_pt,strength_x2_data_pt,strength_x1_common_pt,strength_x16_common_pt,num_common_pt,ttl_fanout_pt,strength_x1_capture_pt,strength_x4_launch_pt,net_m1_data_pt,net_m1_common_pt,net_m4_launch_pt,net_m5_data_pt,net_m4_common_pt,net_m2_capture_pt,net_m2_launch_pt,net_m2_common_pt,net_m1_capture_pt,net_m4_capture_pt,net_m1_launch_pt,net_m3_capture_pt,net_m5_launch_pt,net_m2_data_pt,net_m4_data_pt,net_m5_common_pt,net_m5_capture_pt,net_m3_launch_pt,net_m3_data_pt,net_m3_common_pt,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,STA,status
2507,9.79055,1,0,2,0.046832,0,0,0,0,0,0,0.457896,0,1,2,4,0,2,0.441072,0,1,0,0,0,0,3,0.155184,0,0,0,0,0,0,0,4,6,1,0,0.0,0.153,7.296,0.0,276.79200000000003,0.9329999999999999,0.91,4.763999999999999,0.0,6.992000000000001,0.0,1.732,0,0.79,0.0,0,0,8.39,4.864,325.752,9949.33475046,9794.2717817,9794.27187212,9794.27201735,9794.28137375,9794.24760417,9794.27221308,9794.27226423,9794.27230936,9794.27234056,9794.27237966,9794.27241774,9794.27356997,9790.551,evaluation
2508,9.794453,2,0,3,0.049043,0,0,0,0,0,0,0.44709799999999994,0,1,2,3,0,3,0.44730699999999995,0,2,0,0,0,0,3,0.16278499999999999,0,0,0,0,0,0,0,3,7,1,0,0.0,0.0,33.288000000000004,0.0,223.136,2.818,2.555,3.1260000000000003,0.153,63.08,0.0,32.89,0,2.888,0.0,0,0,38.94,12.16,302.802,9963.04724971,9799.96231449,9799.9623964,9799.96620023,9799.96250149,9799.96253431,9799.96257298,9799.96259409,9799.96261949,9799.96264665,9799.96266553,9799.96268251,9799.96269858,9794.451,evaluation
2509,9.79075,1,0,2,0.047346,0,0,0,0,0,0,0.456769,0,1,2,4,0,2,0.439587,0,1,0,0,0,0,3,0.15373900000000001,0,0,0,0,0,0,0,4,6,1,0,0.0,0.0,6.688,0.0,290.624,0.626,1.037,5.008,0.0,3.344,0.0,5.016,0,1.702,0.0,0,0,5.776,3.04,326.938,9947.77168318,9794.06013846,9794.05998048,9794.05987814,9794.05979603,9794.05972313,9794.05966625,9794.05961968,9794.059564,9794.05951944,9794.05947895,9794.059441500001,9794.05941699,9790.751,evaluation
2510,9.79143,1,0,2,0.050689,0,0,0,0,0,0,0.44738500000000003,0,1,2,5,0,2,0.444457,0,1,0,0,0,0,3,0.164537,0,0,0,0,0,0,0,5,6,1,0,0.0,0.307,9.728,0.0,161.12,1.261,0.627,4.763999999999999,0.0,13.072000000000001,0.0,7.416,0,3.9819999999999998,0.0,0,0,1.61,5.167999999999999,317.94,9958.49198971,9795.98156102,9795.98275809,9795.98371026,9795.98449757,9795.98513474,9795.98570387,9795.98759068,9795.98796204,9795.98829665,9795.98870426,9795.98906909,9795.86372752,9791.43,evaluation
2511,9.791122999999999,1,0,2,0.046801,0,0,0,0,0,0,0.44984300000000005,0,1,2,5,0,2,0.43405299999999997,0,1,0,0,0,0,3,0.155533,0,0,0,0,0,0,0,5,7,1,0,0.0,0.307,6.84,0.0,149.112,1.6569999999999998,1.0590000000000002,4.46,0.0,5.472,0.0,8.39,0,5.928,0.0,0,0,12.828,0.0,316.998,9950.3560234,9794.37986249,9794.38144483,9794.38056037,9794.38119677,9794.3814549,9794.3817019,9794.38073793,9794.38162662,9794.38192227,9794.38220974,9794.38269575,9794.57143571,9791.123,evaluation
2512,9.791549,1,0,2,0.047363999999999996,0,0,0,0,0,0,0.458449,0,1,2,4,0,2,0.445358,0,1,0,0,0,0,3,0.15703599999999998,0,0,0,0,0,0,0,4,7,1,0,0.0,0.0,13.68,0.0,265.392,1.0590000000000002,1.111,4.582,0.0,6.3839999999999995,0.0,9.454,0,1.672,0.0,0,0,2.6439999999999997,6.3839999999999995,341.04400000000004,9952.65019828,9795.44195241,9795.44133737,9795.45586093,9795.44041153,9795.44143899,9795.441458700001,9795.4404688,9795.44049096,9795.45593378,9795.45593985,9795.45594364,9795.45491089,9791.55,evaluation
2513,9.791736,1,0,2,0.051345,0,0,0,0,0,0,0.443072,0,1,2,5,0,2,0.44178900000000004,0,1,0,0,0,0,3,0.16478800000000002,0,0,0,0,0,0,0,5,5,1,0,0.0,0.58,3.344,0.0,156.10399999999998,1.113,0.47200000000000003,4.582,0.0,8.512,0.0,8.39,0,2.188,0.0,0,0,1.55,10.032,322.53,9958.64191672,9796.01055692,9796.01185723,9796.01458089,9796.01538578,9796.016066799999,9796.01664291,9796.02066587,9796.01761433,9796.02172448,9796.01845843,9796.02264888,9795.90597541,9791.735,evaluation
2514,9.791939,1,0,2,0.0465,0,0,0,0,0,0,0.457896,0,1,2,4,0,2,0.441072,0,1,0,0,0,0,3,0.154127,0,0,0,0,0,0,0,4,6,1,0,0.0,0.153,7.296,0.0,276.79200000000003,0.9329999999999999,0.91,4.763999999999999,0.0,6.992000000000001,0.0,1.732,0,2.28,0.0,0,0,8.39,0.912,325.752,9949.67242213,9795.75302834,9795.74030935,9795.74041878,9795.72830971,9795.72830565,9795.71608423,9795.71614503,9795.7161999,9795.71625317,9795.71631146,9795.72829914,9795.7419472,9791.94,evaluation
2515,9.792183,1,0,2,0.051802,0,0,0,0,0,0,0.443072,0,1,2,5,0,2,0.44414,0,1,0,0,0,0,3,0.166234,0,0,0,0,0,0,0,5,5,1,0,0.0,0.58,3.344,0.0,156.10399999999998,1.206,0.47200000000000003,4.582,0.0,6.3839999999999995,0.0,14.288,0,5.928,0.0,0,0,1.55,7.752000000000001,322.53,9960.60544313,9796.45710903,9796.45897301,9796.46071538,9796.46169014,9796.46244615,9796.46305435,9796.46358497,9796.46408607,9796.46480238,9796.46493384,9796.46531709,9796.33632928,9792.183,evaluation
2516,9.79725,3,0,4,0.046585,0,0,0,0,0,0,0.461031,0,1,2,2,0,4,0.4555,0,3,0,0,0,0,3,0.15508,0,0,0,0,0,0,0,2,7,1,0,0.152,0.0,105.03200000000001,0.0,178.144,4.925,4.612,2.094,0.084,137.256,0.153,88.58200000000001,0,2.918,0.0,0,0,82.71600000000001,0.608,255.956,9961.62668851,9806.46958899,9806.46960564,9806.46960356,9806.46210929,9806.46211515,9806.46211415,9806.46211727,9806.46212047,9806.46212676,9806.46212308,9806.46212845,9806.46212587,9797.234,evaluation
